,,,,,,,,
,< 우유베이스 >,,,,,,< 비건 >,
1,유기농 우유 (오레오밀크),,,,,59,코코넛 말차,
2,화이트베이스,"- 순수벌꿀, 피칸프랄린",,,,60,코코넛 커피 ,
,,- 스트라치아뗄라 (초코칩밀크),,,,61,오트 커피 ,
3,체리청밀크,,,,,62,아몬드 초코,
4,솔티크래커,,,,,63,트로피칼 브리즈,
5,달고나밀크,,,,,,"< 소르베, 과일 >",
6,솔티드카라멜,,,,,64,레몬소르베,
7,로투스비스켓,,,,,65,애플망고소르베 ,(냉동)
8,밀크티,,,,,66,생파인애플소르베,
9,다크초코,,,,,67,패션후르츠소르베 ,(냉동)
10,피넛버터초코,,,,,68,딸기소르베 ,(냉동)
11,초코케이크(오예스),,,,,69,생딸기소르베,(겨울)
12,누텔라초코,,,,,70,딸기우유,
13,유기농 쌀밥,,,,,71,생딸기크림,(겨울)
14,유기농 흑미밥,,,,,72,블루베리소르베,(냉동)
15,가마솥에 누룽지,,,,,73,사과소르베,
16,한살림 미숫가루,,,,,74,토마토바질소르베,
17,우리땅 검정깨,,,,,75,토마토소르베,
18,어린 쑥,,,,,76,적.청포도소르베,
19,피스타치오,,,,,77,샤인머스캣소르베,
20,유기농 보성 녹차(말차),,,,,78,파인애플레몬바질소르베,
21,라즈베리마스카포네,,,,,79,생자몽소르베,
22,크림치즈,,,,,80,(유기농) 참외,(여름)
23,트리플치즈,,,,,81,수박소르베,(여름)
24,치즈크래커 (뽀또),,,,,82,자두소르베,(여름)
25,에스프레소크림치즈,,,,,83,복숭아소르베,(여름)
26,녹차크림치즈,,,,,84,참다래소르베 ,(키위소르베)
27,유기농그릭요거트,,,,,85,살구소르베,(여름)
28,레몬크림크럼블,- 크럼블 품절로  판매 불가,,,,86,무화과소르베,(여름)
29,코코넛,,,,,87,배소르베,
30,캠벨포도,,,,,88,단감소르베,
31,티라미수,,,,,89,홍시소르베,
32,쿠크다스,,,,,90,멜론소르베,
33,"이스파한 (리치,장미,라즈베리)",,,,,91,머스크멜론,
34,헤이즐넛,,,,,92,귤 소르베 (겨울)," (오렌지, 한라봉, 천혜양 등)"
35,민트초코칩,,,,,93,깔라만시소르베,
36,고소한볶음땅콩,,,,,94,캐모마일리치소르베,
37,유기농 잣,,,,,95,망고패션후르츠소르베,(냉동)
38,와사비,,,,,96,딸기바나나소르베,
39,찐 바닐라,,,,,97,아보카도바나나소르베,
40,바닐라라떼,,,,,98,아몬드바나나,
41,생바질밀크,,,,,99,망고바나나소르베,
42,로즈마리허니,,,,,100,바나나소르베,
43,무화과크림치즈,,,,,101,생바나나우유,
44,,,,,,102,초록사과,
45,초당 옥수수,(여름),,,,103,다크 체리 ,(냉동)
46,살얼음 식혜,,,,,104,산딸기,(냉동)
47,햇감자,,,,,105,라즈베리,(냉동)
48,고구마,(겨울),,,,106,트리플베리,(냉동)
49,단호박,(겨울),,,,107,레몬요거트,
50,유기농 밤,(겨울),,,,108,블루베리요거트,
51,우리땅 붉은팥,(겨울),,,,109,체리요거트,
52,메이플 시나몬,(겨울),,,,110,라즈베리요거트,
53,애플시나몬,(겨울),,,,111,산딸기요거트,
54,소금커피,,,,,,< 알코올 >,
55,마가렛트,,,,,112,레드와인,
56,인절미,,,,,113,기네스 흑맥주,
57,아보카도,,,,,114,느린마을 막걸리,
58,올리브,,,,,115,샤인머스켓화이트와인,
,,,,,,116,피냐콜라다,
,,,,,,117,샹그리아,
,,,,,,118,깔루아밀크,